iteration,timestamp,no_of_UAV,no_of_Fail_UAV,Coverage,network_efficiency,num_components
7,22,9,0,61.5,0.7639,1
7,23,9,0,65.5,0.7546,1
7,24,9,0,76.0,0.75,1
7,25,9,1,62.5,0.6204,2
7,26,9,1,71.5,0.6944,1
7,27,9,1,62.5,0.7731,1
7,28,9,1,70.0,0.8148,1
7,29,9,1,78.0,0.7407,1
7,30,10,1,48.5,0.5319,1
7,31,10,1,53.0,0.637,1
7,32,10,1,55.5,0.6519,1
7,33,10,1,82.0,0.7333,1
7,34,10,1,69.5,0.6444,2
7,35,11,1,75.5,0.5121,2
7,36,11,1,75.0,0.7242,1
7,37,11,1,65.5,0.7242,1
7,38,11,1,76.0,0.6394,1
7,39,11,1,73.0,0.6424,2
7,40,12,1,82.5,0.5556,2
7,41,12,1,80.0,0.6389,1
7,42,12,1,85.0,0.6111,2
7,43,12,1,81.5,0.6894,1
7,44,11,2,74.5,0.7485,1
7,45,12,2,46.5,0.5545,1
7,46,12,2,61.5,0.5783,2
7,47,12,2,82.0,0.5783,2
7,48,12,2,89.0,0.649,2
7,49,12,2,94.0,0.7222,1
7,50,13,2,85.5,0.7201,1
7,51,13,2,82.5,0.7628,1
7,52,13,2,94.5,0.7372,1
7,53,13,2,92.5,0.7244,1
7,54,12,3,94.0,0.7051,1
7,55,12,4,92.5,0.7094,1
7,56,12,4,90.5,0.7601,1
7,57,11,5,81.5,0.8182,1
7,58,10,6,85.0,0.8061,1
7,59,10,6,86.5,0.6926,1
7,60,11,6,59.0,0.6133,1
7,61,11,6,74.0,0.4394,2
7,62,10,7,76.0,0.6879,1
7,63,10,7,82.5,0.55,2
7,64,10,7,76.5,0.6111,2
7,65,11,7,89.5,0.6333,2
7,66,10,8,85.5,0.6939,1
7,67,10,8,71.0,0.7556,1
7,68,10,8,85.0,0.6741,2
7,69,10,8,82.5,0.7333,1
7,70,11,8,73.5,0.5652,2
7,71,11,8,84.5,0.5848,2
7,72,10,9,83.5,0.6273,2
7,73,10,9,72.5,0.7519,1
7,74,10,9,80.0,0.663,2
7,75,10,9,83.5,0.6759,1
8,0,5,0,0.0,1.0,1
8,1,5,0,27.0,0.4333,2
8,2,5,0,59.5,0.7333,1
8,3,5,0,50.5,0.7333,1
8,4,5,0,65.5,0.9,1
8,5,6,0,66.5,0.7889,1
8,6,6,0,72.0,0.7222,1
8,7,6,0,63.0,0.4,2
8,8,6,0,51.0,0.8333,1
8,9,6,0,59.5,0.6,2
8,10,7,0,71.0,0.5706,1
8,11,7,0,62.5,0.9048,1
8,12,7,0,62.0,0.8095,1
8,13,7,0,65.0,0.8095,1
8,14,7,0,72.0,0.8095,1
8,15,8,0,3.0,0.6935,1
8,16,8,0,9.5,0.503,2
8,17,8,0,25.5,0.756,1
8,18,8,0,32.5,0.6577,1
8,19,8,0,41.5,0.6607,2
8,20,9,0,55.0,0.5255,2
8,21,9,0,57.0,0.5718,2
8,22,9,0,76.0,0.5417,2
8,23,9,0,69.0,0.6204,1
8,24,9,0,65.0,0.6389,2
8,25,10,0,71.5,0.6963,1
8,26,10,0,71.5,0.7111,1
8,27,10,0,66.5,0.6852,1
8,28,10,0,76.0,0.7926,1
8,29,10,0,76.0,0.7111,1
8,30,11,0,27.0,0.5485,2
8,31,11,0,69.5,0.5836,1
8,32,11,0,80.0,0.6242,1
8,33,11,0,84.0,0.6848,1
8,34,11,0,88.0,0.6758,1
8,35,12,0,80.5,0.649,1
8,36,12,0,87.5,0.697,1
8,37,12,0,86.5,0.6717,1
8,38,12,0,93.0,0.6894,1
8,39,12,0,85.5,0.6414,1
8,40,13,0,89.0,0.7799,1
8,41,13,0,89.5,0.7799,1
8,42,13,0,93.5,0.7115,1
8,43,13,0,90.0,0.7735,1
8,44,13,0,85.5,0.6774,1
8,45,14,0,57.0,0.3974,2
8,46,14,0,75.0,0.5811,1
8,47,14,0,84.5,0.5678,1
8,48,14,0,82.5,0.6813,1
8,49,14,0,78.0,0.6593,1
8,50,15,0,95.5,0.6651,1
8,51,15,0,87.0,0.6214,1
8,52,15,0,97.0,0.7016,1
8,53,14,1,99.5,0.6889,1
8,54,13,2,79.0,0.6401,1
8,55,13,3,89.5,0.6731,1
8,56,13,3,75.0,0.6517,1
8,57,11,5,82.0,0.6768,1
8,58,11,5,77.5,0.5788,2
8,59,11,5,80.5,0.6409,1
8,60,12,5,55.5,0.3611,3
8,61,12,5,80.0,0.5076,2
8,62,12,5,80.0,0.6275,1
8,63,11,6,84.0,0.7412,1
8,64,11,6,90.5,0.7667,1
8,65,11,7,85.5,0.7652,1
8,66,11,7,90.0,0.7136,1
8,67,11,7,80.0,0.7667,1
8,68,10,8,88.5,0.797,1
8,69,10,8,86.0,0.7593,1
8,70,11,8,77.5,0.7212,1
8,71,11,8,91.5,0.7667,1
8,72,11,8,80.0,0.7364,1
8,73,11,8,88.5,0.6545,1
8,74,11,8,89.0,0.7394,1
8,75,11,8,78.5,0.6136,1
9,0,5,0,0.0,1.0,1
9,1,5,0,30.0,0.8,1
9,2,5,0,49.0,0.5,2
9,3,5,0,54.0,0.95,1
9,4,5,0,51.5,0.4,2
9,5,6,0,66.5,0.8222,1
9,6,6,0,65.0,0.8333,1
9,7,6,0,51.5,0.9,1
9,8,6,0,62.5,0.8,1
9,9,6,0,56.0,0.9,1
9,10,7,0,73.5,0.6905,1
9,11,7,0,66.0,0.881,1
9,12,7,0,60.5,0.8571,1
9,13,7,0,63.5,0.8571,1
9,14,7,0,65.5,0.8333,1
9,15,8,0,2.5,0.4405,2
9,16,8,0,24.5,0.381,3
9,17,8,0,39.5,0.381,3
9,18,8,0,47.0,0.2917,3
9,19,8,0,72.5,0.7381,1
9,20,9,0,65.0,0.8056,1
9,21,9,0,71.0,0.75,1
9,22,9,0,74.0,0.7361,1
9,23,9,0,73.0,0.8333,1
9,24,9,0,82.0,0.7824,1
9,25,10,0,83.0,0.7074,1
9,26,10,0,87.5,0.7481,1
9,27,10,0,74.0,0.8556,1
9,28,10,0,86.5,0.6815,1
9,29,10,0,76.0,0.7148,1
9,30,11,0,54.0,0.6318,1
9,31,11,0,63.0,0.5364,3
9,32,11,0,67.5,0.5697,2
9,33,11,0,74.0,0.6485,2
9,34,11,0,81.5,0.5682,2
9,35,12,0,84.5,0.6018,1
9,36,12,0,83.0,0.6313,2
9,37,12,0,83.5,0.7311,1
9,38,12,0,82.0,0.7576,1
9,39,12,0,83.0,0.7008,1
9,40,13,0,94.0,0.688,1
9,41,13,0,90.5,0.6902,1
9,42,13,0,96.5,0.735,1
9,43,13,0,93.0,0.7436,1
9,44,13,0,91.0,0.7286,1
9,45,14,0,38.5,0.3963,2
9,46,14,0,60.0,0.6071,2
