iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
39,69,7,ENERGY_DEPLETION,0,0,Yes
39,75,8,ENERGY_DEPLETION,0,0,Yes
40,53,3,ENERGY_DEPLETION,0,0,Yes
40,54,4,ENERGY_DEPLETION,0,0,Yes
40,57,0,ENERGY_DEPLETION,0,0,Yes
40,57,1,ENERGY_DEPLETION,0,0,Yes
40,57,2,ENERGY_DEPLETION,0,0,Yes
40,62,5,ENERGY_DEPLETION,0,0,Yes
40,65,6,ENERGY_DEPLETION,0,0,Yes
40,67,7,ENERGY_DEPLETION,0,0,Yes
41,51,2,ENERGY_DEPLETION,0,0,Yes
41,55,0,ENERGY_DEPLETION,0,0,Yes
41,56,3,ENERGY_DEPLETION,0,0,Yes
41,57,4,ENERGY_DEPLETION,0,0,Yes
41,58,1,ENERGY_DEPLETION,0,0,Yes
41,60,5,ENERGY_DEPLETION,0,0,Yes
41,64,6,ENERGY_DEPLETION,0,0,Yes
41,70,7,ENERGY_DEPLETION,0,0,Yes
41,72,12,STOCHASTIC_FAILURE,47484.91,8,Yes
41,72,12,ENERGY_DEPLETION,0,0,Yes
41,74,8,ENERGY_DEPLETION,0,0,Yes
42,53,2,ENERGY_DEPLETION,0,0,Yes
42,53,3,ENERGY_DEPLETION,0,0,Yes
42,54,4,ENERGY_DEPLETION,0,0,Yes
42,55,0,ENERGY_DEPLETION,0,0,Yes
42,57,1,ENERGY_DEPLETION,0,0,Yes
42,60,5,ENERGY_DEPLETION,0,5,Yes
42,62,6,ENERGY_DEPLETION,0,0,Yes
42,72,7,ENERGY_DEPLETION,0,4,Yes
42,74,8,ENERGY_DEPLETION,0,0,Yes
43,53,2,ENERGY_DEPLETION,0,0,Yes
43,55,0,ENERGY_DEPLETION,0,0,Yes
43,55,3,ENERGY_DEPLETION,0,0,Yes
43,57,4,ENERGY_DEPLETION,0,0,Yes
43,58,1,ENERGY_DEPLETION,0,0,Yes
43,61,5,ENERGY_DEPLETION,0,0,Yes
43,65,6,ENERGY_DEPLETION,0,0,Yes
43,74,7,ENERGY_DEPLETION,0,0,Yes
44,20,6,STOCHASTIC_FAILURE,103763.64,3,Yes
44,20,6,ENERGY_DEPLETION,0,0,Yes
44,53,3,ENERGY_DEPLETION,0,0,Yes
44,53,4,ENERGY_DEPLETION,0,0,Yes
44,56,0,ENERGY_DEPLETION,0,0,Yes
44,57,1,ENERGY_DEPLETION,0,0,Yes
